sepal_length,sepal_width,petal_length,petal_width,target,tsne_1,tsne_2
4.9,3.6,1.4,0.1,setosa,-25.060041,-2.2134955
4.4,3.0,1.3,0.2,setosa,-21.785553,-1.9753299
5.1,3.4,1.5,0.2,setosa,-25.11901,-1.4703461
5.0,3.5,1.3,0.3,setosa,-25.125189,-1.8629271
4.5,2.3,1.3,0.3,setosa,-21.409578,-0.9512386
4.4,3.2,1.3,0.2,setosa,-22.042706,-2.4957492
5.0,3.5,1.6,0.6,setosa,-25.488604,-3.1420202
5.1,3.8,1.9,0.4,setosa,-26.779037,-3.1906798
4.8,3.0,1.4,0.3,setosa,-22.699232,-1.2377927
5.1,3.8,1.6,0.2,setosa,-26.669214,-2.5064056
4.6,3.2,1.4,0.2,setosa,-22.605898,-2.2403235
5.3,3.7,1.5,0.2,setosa,-26.75244,-1.7877219
5.0,3.3,1.4,0.2,setosa,-24.410986,-1.4805753
7.0,3.2,4.7,1.4,versicolor,8.732479,-2.1442597
6.4,3.2,4.5,1.5,versicolor,8.04596,-0.5794409
6.9,3.1,4.9,1.5,versicolor,9.275713,-2.0743027
5.5,2.3,4.0,1.3,versicolor,3.9440954,2.6294863
6.5,2.8,4.6,1.5,versicolor,8.490431,-0.8329024
5.7,2.8,4.5,1.3,versicolor,5.763461,1.234876
6.3,3.3,4.7,1.6,versicolor,8.699425,-0.25726587
4.9,2.4,3.3,1.0,versicolor,2.8662112,3.7238674
6.6,2.9,4.6,1.3,versicolor,8.229523,-1.2345548
5.2,2.7,3.9,1.4,versicolor,3.688551,2.2317402
5.0,2.0,3.5,1.0,versicolor,2.8542514,3.4299514
5.9,3.0,4.2,1.5,versicolor,6.2780538,1.475499
6.0,2.2,4.0,1.0,versicolor,5.315348,3.689596
6.1,2.9,4.7,1.4,versicolor,8.049104,0.67121583
5.6,2.9,3.6,1.3,versicolor,4.49325,3.5060244
6.7,3.1,4.4,1.4,versicolor,7.9767137,-1.4694802
5.6,3.0,4.5,1.5,versicolor,5.7081327,0.8938192
5.8,2.7,4.1,1.0,versicolor,5.281526,2.774074
6.2,2.2,4.5,1.5,versicolor,8.352242,2.4383245
5.6,2.5,3.9,1.1,versicolor,4.368566,2.9878578
5.9,3.2,4.8,1.8,versicolor,9.437344,0.5935534
6.1,2.8,4.0,1.3,versicolor,6.1123595,2.4473336
6.3,2.5,4.9,1.5,versicolor,9.609405,1.3297136
6.1,2.8,4.7,1.2,versicolor,7.743426,0.9085585
6.4,2.9,4.3,1.3,versicolor,7.289205,-0.3705832
6.6,3.0,4.4,1.4,versicolor,7.838987,-1.1392014
6.8,2.8,4.8,1.4,versicolor,8.985499,-1.7047982
6.7,3.0,5.0,1.7,versicolor,10.248654,-1.8471634
6.0,2.9,4.5,1.5,versicolor,7.2842965,0.8720787
5.7,2.6,3.5,1.0,versicolor,4.1090236,3.7573504
5.5,2.4,3.8,1.1,versicolor,3.9168148,3.1159918
5.5,2.4,3.7,1.0,versicolor,3.8092773,3.3720996
5.8,2.7,3.9,1.2,versicolor,4.9953213,2.8860178
6.0,2.7,5.1,1.6,versicolor,10.7738695,0.7217101
5.4,3.0,4.5,1.5,versicolor,5.169797,0.8295142
6.0,3.4,4.5,1.6,versicolor,8.2947035,0.30420554
6.7,3.1,4.7,1.5,versicolor,8.739467,-1.594801
6.3,2.3,4.4,1.3,versicolor,8.0307665,2.42644
5.6,3.0,4.1,1.3,versicolor,5.1645956,1.8278606
5.5,2.5,4.0,1.3,versicolor,4.215827,2.488231
5.5,2.6,4.4,1.2,versicolor,4.5756545,1.6124635
6.1,3.0,4.6,1.4,versicolor,7.729893,0.50446326
5.8,2.6,4.0,1.2,versicolor,5.013379,2.8161166
5.0,2.3,3.3,1.0,versicolor,2.9233022,3.7056262
5.6,2.7,4.2,1.3,versicolor,4.806995,1.9736253
5.7,3.0,4.2,1.2,versicolor,5.530673,1.8242989
5.7,2.9,4.2,1.3,versicolor,5.4532423,1.8112391
6.2,2.9,4.3,1.3,versicolor,6.9478736,0.5059744
5.1,2.5,3.0,1.1,versicolor,2.8731308,3.9324312
5.7,2.8,4.1,1.3,versicolor,5.176323,2.1980717
6.3,3.3,6.0,2.5,virginica,14.004391,-4.0357795
5.8,2.7,5.1,1.9,virginica,11.16699,1.2920768
7.1,3.0,5.9,2.1,virginica,15.373082,-2.7772763
6.3,2.9,5.6,1.8,virginica,13.163945,-1.1187184
6.5,3.0,5.8,2.2,virginica,14.172752,-2.3412366
7.6,3.0,6.6,2.1,virginica,16.755835,-3.2663383
4.9,2.5,4.5,1.7,virginica,3.7848186,0.93445307
7.3,2.9,6.3,1.8,virginica,16.342863,-2.706296
6.7,2.5,5.8,1.8,virginica,14.5001745,-1.2660508
7.2,3.6,6.1,2.5,virginica,15.562745,-3.8655713
6.5,3.2,5.1,2.0,virginica,12.104848,-2.2549121
6.4,2.7,5.3,1.9,virginica,12.323667,-0.9618601
6.8,3.0,5.5,2.1,virginica,13.818316,-2.4743807
5.7,2.5,5.0,2.0,virginica,11.227169,1.7249078
5.8,2.8,5.1,2.4,virginica,11.887132,1.5544761
6.4,3.2,5.3,2.3,virginica,12.898703,-3.0103803
6.5,3.0,5.5,1.8,virginica,13.085161,-1.5459207
7.7,3.8,6.7,2.2,virginica,16.582165,-4.0146036
7.7,2.6,6.9,2.3,virginica,17.152382,-3.1483269
6.0,2.2,5.0,1.5,virginica,9.82663,2.0930505
6.9,3.2,5.7,2.3,virginica,14.578268,-3.0917282
5.6,2.8,4.9,2.0,virginica,11.089022,1.7478435
7.7,2.8,6.7,2.0,virginica,16.948988,-3.1374977
6.3,2.7,4.9,1.8,virginica,10.565741,-0.02417349
6.7,3.3,5.7,2.1,virginica,14.277427,-2.915948
7.2,3.2,6.0,1.8,virginica,15.808274,-2.6739204
6.2,2.8,4.8,1.8,virginica,10.127892,0.20790353
6.1,3.0,4.9,1.8,virginica,10.079739,0.37317887
6.4,2.8,5.6,2.1,virginica,13.621145,-1.6368899
7.2,3.0,5.8,1.6,virginica,15.779823,-2.229403
7.4,2.8,6.1,1.9,virginica,16.25073,-2.6688633
7.9,3.8,6.4,2.0,virginica,16.567106,-4.009518
6.4,2.8,5.6,2.2,virginica,13.70006,-1.8014399
6.3,2.8,5.1,1.5,virginica,10.614437,-0.33776274
6.1,2.6,5.6,1.4,virginica,12.512086,0.09280859
7.7,3.0,6.1,2.3,virginica,16.369148,-3.300861
6.3,3.4,5.6,2.4,virginica,13.423665,-3.7569253
6.4,3.1,5.5,1.8,virginica,12.988531,-1.5389764
6.0,3.0,4.8,1.8,virginica,9.801169,0.5639732
6.9,3.1,5.4,2.1,virginica,13.641762,-2.6982532
6.7,3.1,5.6,2.4,virginica,13.93874,-3.091569
6.9,3.1,5.1,2.3,virginica,12.7463,-2.897856
5.8,2.7,5.1,1.9,virginica,11.16699,1.2920768
6.8,3.2,5.9,2.3,virginica,14.73201,-3.219773
6.7,3.3,5.7,2.5,virginica,14.191346,-3.5549319
6.7,3.0,5.2,2.3,virginica,12.906998,-2.6902013
6.3,2.5,5.0,1.9,virginica,11.17539,0.05667358
6.5,3.0,5.2,2.0,virginica,12.370533,-1.9532756
6.2,3.4,5.4,2.3,virginica,12.948553,-3.6518154
5.9,3.0,5.1,1.8,virginica,10.730299,0.870022
